CG_ID	HU_ID	HaT13l_ID	AGI_ID from HU	AGI_ID from HaT13l	name from Hu	name from HaT13l	description from Hu	description from HAt13l				
CG1518	HuCL02025C002	HaT13l000521	AT4G26690	AT4G26690	SHV3	SHV3	"Glycerophosphoryl diester phosphodiesterase-like protein involved in cell wall cellulose accumulation and pectin linking. Impacts root hair, trichome and epidermal cell development."	"Glycerophosphoryl diester phosphodiesterase-like protein involved in cell wall cellulose accumulation and pectin linking. Impacts root hair, trichome and epidermal cell development.   protein_coding  SHAVEN 3 (SHV3) SHAVEN 3 (SHV3);MUTANT ROOT HAIR 5 (MRH5);GLYCEROPHOSPHODIESTERASE-LIKE 2 (GPDL2)"				
CG1521	HuCL12034C001	HaT13l012094	AT2G16890	AT2G16890	HuCL12034C001	HaT13l012094	"UDP-Glycosyltransferase superfamily protein; FUNCTIONS IN: transferase activity, transferring glycosyl groups; INVOLVED IN: metabolic process; LOCATED IN: cellular_component unknown; EXPRESSED IN: central cell; CONTAINS InterPro DOMAIN/s: UDP-glucuronosyl/UDP-glucosyltransferase (InterPro:IPR002213), Tudor subgroup (InterPro:IPR018351); BEST Arabidopsis thaliana protein match is: UDP-Glycosyltransferase superfamily protein (TAIR:AT2G16890.2); Has 7679 Blast hits to 7613 proteins in 497 species: Archae - 0; Bacteria - 501; Metazoa - 1984; Fungi - 34; Plants - 4971; Viruses - 133; Other Eukaryotes - 56 (source: NCBI BLink)."	"UDP-Glycosyltransferase superfamily protein; FUNCTIONS IN: transferase activity, transferring glycosyl groups; INVOLVED IN: metabolic process; LOCATED IN: cellular_component unknown; EXPRESSED IN: central cell; CONTAINS InterPro DOMAIN/s: UDP-glucuronosyl/UDP-glucosyltransferase (InterPro:IPR002213), Tudor subgroup (InterPro:IPR018351); BEST Arabidopsis thaliana protein match is: UDP-Glycosyltransferase superfamily protein (TAIR:AT2G16890.2); Has 7679 Blast hits to 7613 proteins in 497 species: Archae - 0; Bacteria - 501; Metazoa - 1984; Fungi - 34; Plants - 4971; Viruses - 133; Other Eukaryotes - 56 (source: NCBI BLink)."				
CG1522	HuCL21226C001	HaT13l028104	AT1G79620	AT1G79620	HuCL21226C001	HaT13l028104	"Leucine-rich repeat protein kinase family protein; FUNCTIONS IN: protein serine/threonine kinase activity, kinase activity, ATP binding; INVOLVED IN: transmembrane receptor protein tyrosine kinase signaling pathway, protein amino acid phosphorylation; LOCATED IN: endomembrane system; EXPRESSED IN: 8 plant structures; EXPRESSED DURING: 4 anthesis, petal differentiation and expansion stage; CONTAINS InterPro DOMAIN/s: Protein kinase, ATP binding site (InterPro:IPR017441), Protein kinase, catalytic domain (InterPro:IPR000719), Leucine-rich repeat-containing N-terminal domain, type 2 (InterPro:IPR013210), Leucine-rich repeat (InterPro:IPR001611), Serine-threonine/tyrosine-protein kinase (InterPro:IPR001245), Protein kinase-like domain (InterPro:IPR011009), Serine/threonine-protein kinase, active site (InterPro:IPR008271); BEST Arabidopsis thaliana protein match is: Leucine-rich repeat protein kinase family protein (TAIR:AT5G49760.1); Has 173131 Blast hits to 132948 proteins in 4769 species: Archae - 163; Bacteria - 18653; Metazoa - 51943; Fungi - 10632; Plants - 70309; Viruses - 438; Other Eukaryotes - 20993 (source: NCBI BLink)."	"Leucine-rich repeat protein kinase family protein; FUNCTIONS IN: protein serine/threonine kinase activity, kinase activity, ATP binding; INVOLVED IN: transmembrane receptor protein tyrosine kinase signaling pathway, protein amino acid phosphorylation; LOCATED IN: endomembrane system; EXPRESSED IN: 8 plant structures; EXPRESSED DURING: 4 anthesis, petal differentiation and expansion stage; CONTAINS InterPro DOMAIN/s: Protein kinase, ATP binding site (InterPro:IPR017441), Protein kinase, catalytic domain (InterPro:IPR000719), Leucine-rich repeat-containing N-terminal domain, type 2 (InterPro:IPR013210), Leucine-rich repeat (InterPro:IPR001611), Serine-threonine/tyrosine-protein kinase (InterPro:IPR001245), Protein kinase-like domain (InterPro:IPR011009), Serine/threonine-protein kinase, active site (InterPro:IPR008271); BEST Arabidopsis thaliana protein match is: Leucine-rich repeat protein kinase family protein (TAIR:AT5G49760.1); Has 173131 Blast hits to 132948 proteins in 4769 species: Archae - 163; Bacteria - 18653; Metazoa - 51943; Fungi - 10632; Plants - 70309; Viruses - 438; Other Eukaryotes - 20993 (source: NCBI BLink)."				
CG1529	HuCL05161C001	HaT13l017025			HuCL05161C001	HaT13l017025	 	 				
CG1539	HuCL04895C001	HaT13l011890	AT3G04290	AT3G04290	LTL1	LTL1	"Li-tolerant lipase 1 (LTL1); FUNCTIONS IN: hydrolase activity, acting on ester bonds, carboxylesterase activity; INVOLVED IN: lipid metabolic process; LOCATED IN: endomembrane system; EXPRESSED IN: 19 plant structures; EXPRESSED DURING: 12 growth stages; CONTAINS InterPro DOMAIN/s: Lipase, GDSL (InterPro:IPR001087), Esterase, SGNH hydrolase-type (InterPro:IPR013830); BEST Arabidopsis thaliana protein match is: GDSL-like Lipase/Acylhydrolase superfamily protein (TAIR:AT5G33370.1); Has 3364 Blast hits to 3325 proteins in 174 species: Archae - 0; Bacteria - 234; Metazoa - 0; Fungi - 3; Plants - 3111; Viruses - 0; Other Eukaryotes - 16 (source: NCBI BLink).   protein_coding  LI-TOLERANT LIPASE 1 (LTL1)      (ATLTL1);LI-TOLERANT LIPASE 1 (LTL1)"	"Li-tolerant lipase 1 (LTL1); FUNCTIONS IN: hydrolase activity, acting on ester bonds, carboxylesterase activity; INVOLVED IN: lipid metabolic process; LOCATED IN: endomembrane system; EXPRESSED IN: 19 plant structures; EXPRESSED DURING: 12 growth stages; CONTAINS InterPro DOMAIN/s: Lipase, GDSL (InterPro:IPR001087), Esterase, SGNH hydrolase-type (InterPro:IPR013830); BEST Arabidopsis thaliana protein match is: GDSL-like Lipase/Acylhydrolase superfamily protein (TAIR:AT5G33370.1); Has 3364 Blast hits to 3325 proteins in 174 species: Archae - 0; Bacteria - 234; Metazoa - 0; Fungi - 3; Plants - 3111; Viruses - 0; Other Eukaryotes - 16 (source: NCBI BLink).   protein_coding  LI-TOLERANT LIPASE 1 (LTL1)      (ATLTL1);LI-TOLERANT LIPASE 1 (LTL1)"				
CG1548	HuCL03425C001	HaT13l028928	AT5G13170	AT5G13170	SAG29	SAG29	"senescence-associated gene 29 (SAG29); LOCATED IN: endomembrane system, integral to membrane, membrane; EXPRESSED IN: 13 plant structures; EXPRESSED DURING: LP.04 four leaves visible, 4 anthesis, C globular stage, petal differentiation and expansion stage; CONTAINS InterPro DOMAIN/s: MtN3/saliva-related transmembrane protein, conserved region (InterPro:IPR018169), RAG1-activating protein 1 homologue (InterPro:IPR018179), RAG1-activating protein-1-related (InterPro:IPR004316); BEST Arabidopsis thaliana protein match is: homolog of Medicago truncatula MTN3 (TAIR:AT5G23660.1); Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink). protein_coding  SENESCENCE-ASSOCIATED GENE 29 (SAG29)   SENESCENCE-ASSOCIATED GENE 29 (SAG29); (SWEET15); (AtSWEET15)"	"senescence-associated gene 29 (SAG29); LOCATED IN: endomembrane system, integral to membrane, membrane; EXPRESSED IN: 13 plant structures; EXPRESSED DURING: LP.04 four leaves visible, 4 anthesis, C globular stage, petal differentiation and expansion stage; CONTAINS InterPro DOMAIN/s: MtN3/saliva-related transmembrane protein, conserved region (InterPro:IPR018169), RAG1-activating protein 1 homologue (InterPro:IPR018179), RAG1-activating protein-1-related (InterPro:IPR004316); BEST Arabidopsis thaliana protein match is: homolog of Medicago truncatula MTN3 (TAIR:AT5G23660.1); Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink). protein_coding  SENESCENCE-ASSOCIATED GENE 29 (SAG29)   SENESCENCE-ASSOCIATED GENE 29 (SAG29); (SWEET15); (AtSWEET15)"				
CG1569	HuCL03357C001	HaT13l002883	AT3G19820	AT3G19820	DWF1	DWF1	Involved in the conversion of the early brassinosteroid precursor 24-methylenecholesterol to campesterol. Brassinosteroids affect cellular elongation. Mutants have dwarf phenotype. DWF1 is a Ca2+-dependent calmodulin-binding protein.	Involved in the conversion of the early brassinosteroid precursor  24-methylenecholesterol to campesterol. Brassinosteroids affect cellular elongation. Mutants have dwarf phenotype.  DWF1 is a Ca2+-dependent calmodulin-binding protein.     protein_coding  DWARF 1 (DWF1)  DWARF 1 (DWF1)				
CG1570	HuCL00322C003	HaT13l001827	AT2G30600	AT2G30600	HuCL00322C003	HaT13l001827	 BTB/POZ domain-containing protein	 BTB/POZ domain-containing protein				
CG1576	HuCL04379C001	HaT13l016180	AT1G74670	AT1G74670	GASA6	GASA6	 Gibberellin-regulated family prot	 Gibberellin-regulated family prot				
CG1581	HuCL04014C001	HaT13l000530	AT4G10770	AT4G10770	OPT7	OPT7	oligopeptide transporter	oligopeptide transporter        protein_coding  OLIGOPEPTIDE TRANSPORTER 7 (OPT7)       ARABIDOPSIS THALIANA OLIGOPEPTIDE TRANSPORTER 7 (ATOPT7);OLIGOPEPTIDE TRANSPORTER 7 (OPT7)				
CG1590	HuCL01773C001	HaT13l007466	AT2G48020	AT2G48020	HuCL01773C001	HaT13l007466	"Major facilitator superfamily protein; FUNCTIONS IN: carbohydrate transmembrane transporter activity, sugar:hydrogen symporter activity; INVOLVED IN: transport, transmembrane transport; LOCATED IN: plasma membrane, chloroplast, vacuole, membrane; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: Sugar transporter, conserved site (InterPro:IPR005829), Major facilitator superfamily (InterPro:IPR020846), General substrate transporter (InterPro:IPR005828), Sugar/inositol transporter (InterPro:IPR003663), Major facilitator superfamily, general substrate transporter (InterPro:IPR016196); BEST Arabidopsis thaliana protein match is: Major facilitator superfamily protein (TAIR:AT5G18840.1); Has 32576 Blast hits to 32035 proteins in 2204 species: Archae - 531; Bacteria - 16009; Metazoa - 5272; Fungi - 6662; Plants - 2708; Viruses - 2; Other Eukaryotes - 1392 (source: NCBI BLink)."	"Major facilitator superfamily protein; FUNCTIONS IN: carbohydrate transmembrane transporter activity, sugar:hydrogen symporter activity; INVOLVED IN: transport, transmembrane transport; LOCATED IN: plasma membrane, chloroplast, vacuole, membrane; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: Sugar transporter, conserved site (InterPro:IPR005829), Major facilitator superfamily (InterPro:IPR020846), General substrate transporter (InterPro:IPR005828), Sugar/inositol transporter (InterPro:IPR003663), Major facilitator superfamily, general substrate transporter (InterPro:IPR016196); BEST Arabidopsis thaliana protein match is: Major facilitator superfamily protein (TAIR:AT5G18840.1); Has 32576 Blast hits to 32035 proteins in 2204 species: Archae - 531; Bacteria - 16009; Metazoa - 5272; Fungi - 6662; Plants - 2708; Viruses - 2; Other Eukaryotes - 1392 (source: NCBI BLink)."				
CG1861	HuCL00650C003	HaT13l009889	AT5G40010	AT5G40010	AATP1	AATP1	"AAA-ATPase 1 (AATP1); FUNCTIONS IN: nucleoside-triphosphatase activity, ATPase activity, nucleotide binding, ATP binding; EXPRESSED IN: stem, inflorescence meristem, root, flower, stamen; EXPRESSED DURING: 4 anthesis, petal differentiation and expansion stage; CONTAINS InterPro DOMAIN/s: ATPase, AAA-type, core (InterPro:IPR003959), ATPase, AAA+ type, core (InterPro:IPR003593), ATPase, AAA-type, conserved site (InterPro:IPR003960); BEST Arabidopsis thaliana protein match is: P-loop containing nucleoside triphosphate hydrolases superfamily protein (TAIR:AT3G28580.1); Has 35875 Blast hits to 26437 proteins in 2942 species: Archae - 1242; Bacteria - 8120; Metazoa - 8429; Fungi - 4077; Plants - 2736; Viruses - 205; Other Eukaryotes - 11066 (source: NCBI BLink)."	Encodes a mitochondrial ATPase involved in seed and silique development.        protein_coding  AAA-ATPASE 1 (AATP1)    AAA-ATPASE 1 (AATP1);ATPASE-IN-SEED-DEVELOPMENT (ASD)				
CG1880	HuBQ965765	HaT13l010257	AT5G15250	AT5G15250	FTSH6	FTSH6	 FTSH protease 8	 FTSH protease 8				
CG1881	HuBQ968746	HaT13l000013	AT5G20480	AT5G20480	EFR	EFR	Encodes a predicted leucine-rich repeat receptor kinase (LRR-RLK). Functions as the receptor for bacterial PAMP (pathogen associated molecular patterns) EF-Tu.	Encodes a predicted leucine-rich repeat receptor kinase (LRR-RLK). Functions as the receptor for bacterial PAMP (pathogen associated molecular patterns) EF-Tu.				
CG1882	HuBU024327	HaT13l013945	AT2G38310	AT2G38310	PYL4	PYL4	Encodes a member of the PYR (pyrabactin resistance )/PYL(PYR1-like)/RCAR (regulatory components of ABA receptor) family proteins with 14 members. PYR/PYL/RCAR family proteins function as abscisic acid sensors. Mediate ABA-dependent regulation of protein phosphatase 2Cs ABI1 and ABI2.	Encodes a member of the PYR (pyrabactin resistance )/PYL(PYR1-like)/RCAR (regulatory components of ABA receptor) family proteins with 14 members. PYR/PYL/RCAR family proteins function as abscisic acid sensors. Mediate ABA-dependent regulation of protein phosphatase 2Cs ABI1 and ABI2.				
CG1883	HuBU024903	HaT13l085691	Na	Na	HuBU024903	HaT13l085691	 unknown protein	 unknown protein				
CG1885	HuBU030189	HaT13l074901	AT5G65530	AT5G65530	HuBU030189	HaT13l074901	"Protein kinase superfamily protein; FUNCTIONS IN: protein serine/threonine kinase activity, protein kinase activity, kinase activity, ATP binding; INVOLVED IN: protein amino acid phosphorylation; LOCATED IN: cellular_component unknown; EXPRESSED IN: 16 plant structures; EXPRESSED DURING: 8 growth stages; CONTAINS InterPro DOMAIN/s: Protein kinase, ATP binding site (InterPro:IPR017441), Serine/threonine-protein kinase domain (InterPro:IPR002290), Serine/threonine-protein kinase-like domain (InterPro:IPR017442), Serine/threonine-protein kinase, active site (InterPro:IPR008271), Protein kinase-like domain (InterPro:IPR011009), Protein kinase, catalytic domain (InterPro:IPR000719), Tyrosine-protein kinase, catalytic domain (InterPro:IPR020635); BEST Arabidopsis thaliana protein match is: ROP binding protein kinases 1 (TAIR:AT5G10520.1); Has 113031 Blast hits to 111947 proteins in 4379 species: Archae - 102; Bacteria - 12808; Metazoa - 41761; Fungi - 9419; Plants - 32365; Viruses - 431; Other Eukaryotes - 16145 (source: NCBI BLink)."	"Protein kinase superfamily protein; FUNCTIONS IN: protein serine/threonine kinase activity, protein kinase activity, kinase activity, ATP binding; INVOLVED IN: protein amino acid phosphorylation; LOCATED IN: cellular_component unknown; EXPRESSED IN: 16 plant structures; EXPRESSED DURING: 8 growth stages; CONTAINS InterPro DOMAIN/s: Protein kinase, ATP binding site (InterPro:IPR017441), Serine/threonine-protein kinase domain (InterPro:IPR002290), Serine/threonine-protein kinase-like domain (InterPro:IPR017442), Serine/threonine-protein kinase, active site (InterPro:IPR008271), Protein kinase-like domain (InterPro:IPR011009), Protein kinase, catalytic domain (InterPro:IPR000719), Tyrosine-protein kinase, catalytic domain (InterPro:IPR020635); BEST Arabidopsis thaliana protein match is: ROP binding protein kinases 1 (TAIR:AT5G10520.1); Has 113031 Blast hits to 111947 proteins in 4379 species: Archae - 102; Bacteria - 12808; Metazoa - 41761; Fungi - 9419; Plants - 32365; Viruses - 431; Other Eukaryotes - 16145 (source: NCBI BLink)."				
CG1886	HuBU035954	HaT13l018703	NA	AT4G33040	HuBU035954	HaT13l018703		"Thioredoxin superfamily protein; FUNCTIONS IN: electron carrier activity, protein disulfide oxidoreductase activity; INVOLVED IN: cell redox homeostasis; LOCATED IN: cellular_component unknown; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Glutaredoxin-like, plant II (InterPro:IPR011905), Thioredoxin fold (InterPro:IPR012335), Glutaredoxin (InterPro:IPR002109), Thioredoxin-like fold (InterPro:IPR012336); BEST Arabidopsis thaliana protein match is: Thioredoxin superfamily protein (TAIR:AT5G11930.1); Has 1149 Blast hits to 1147 proteins in 175 species: Archae - 0; Bacteria - 20; Metazoa - 257; Fungi - 124; Plants - 712; Viruses - 0; Other Eukaryotes - 36 (source: NCBI BLink)."				
CG1887	HuCD847422	HaT13l043731	NA	AT4G34530	HuCD847422	CIB1		"Encodes a transcription factor CIB1 (cryptochrome-interacting basic-helix-loop-helix). CIB1 interacts with CRY2 (cryptochrome 2) in a blue light-specific manner in yeast and Arabidopsis cells, and it acts together with additional CIB1-related proteins to promote CRY2-dependent floral initiation. CIB1 positively regulates FT expression.       protein_coding  CRYPTOCHROME-INTERACTING BASIC-HELIX-LOOP-HELIX 1 (CIB1)        CRYPTOCHROME-INTERACTING BASIC-HELIX-LOOP-HELIX 1 (CIB1)"				
CG1888	HuCL00001C197	HaT13l005184	AT1G64660	AT1G64660	MGL	MGL	"Encodes a functional methionine gamma-lyase, a cytosolic enzyme catalyzes the degradation of methionine into methanethiol, alpha-ketobutyrate and ammonia. The catabolism of excess methionine is important to methionine homeostasis."	"Encodes a functional methionine gamma-lyase, a cytosolic enzyme catalyzes the degradation of methionine into methanethiol, alpha-ketobutyrate and ammonia. The catabolism of excess methionine is important to methionine homeostasis.  protein_coding  METHIONINE GAMMA-LYASE (MGL)    METHIONINE GAMMA-LYASE (ATMGL);METHIONINE GAMMA-LYASE (MGL)"				
CG1889	HuCL00001C870	HaT13l017409	Na	Na	HuCL00001C870	HaT13l017409	 unknown protein	 unknown protein				
CG1890	HuCL00012C001	HaT13l017389	AT2G38540	AT2G38540	LP1	LP1	"Non-specific lipid transfer protein. Binds calmodulin in a Ca2+-independent manner. Localized to the cell wall. Specifically expressed in L1 epidermal layer. Predicted to be a member of PR-14 pathogenesis-related protein family with the following members:   At2g38540/LTP1, At2g38530/LTP2, At5g59320/LTP3, At5g59310/LTP4, At3g51600/LTP5, At3g08770/LTP6, At2g15050/LTP7, At2g18370/LTP8, At2g15325/LTP9, At5g01870/LTP10, At4g33355/LTP11, At3g51590/LTP12, At5g44265/LTP13, At5g62065/LTP14, At4g08530/LTP15. protein_coding  LIPID TRANSFER PROTEIN 1 (LP1)  LIPID TRANSFER PROTEIN 1 (LP1);LIPID TRANSFER PROTEIN 1 (LTP1);ARABIDOPSIS THALIANA LIPID TRANSFER PROTEIN 1 (ATLTP1)"	"Non-specific lipid transfer protein. Binds calmodulin in a Ca2+-independent manner. Localized to the cell wall. Specifically expressed in L1 epidermal layer. Predicted to be a member of PR-14 pathogenesis-related protein family with the following members:   At2g38540/LTP1, At2g38530/LTP2, At5g59320/LTP3, At5g59310/LTP4, At3g51600/LTP5, At3g08770/LTP6, At2g15050/LTP7, At2g18370/LTP8, At2g15325/LTP9, At5g01870/LTP10, At4g33355/LTP11, At3g51590/LTP12, At5g44265/LTP13, At5g62065/LTP14, At4g08530/LTP15. protein_coding  LIPID TRANSFER PROTEIN 1 (LP1)  LIPID TRANSFER PROTEIN 1 (LP1);LIPID TRANSFER PROTEIN 1 (LTP1);ARABIDOPSIS THALIANA LIPID TRANSFER PROTEIN 1 (ATLTP1)"				
CG1891	HuCL00012C002	HaT13l035924	AT2G38540	AT2G38540	LP1	LP1	"Non-specific lipid transfer protein. Binds calmodulin in a Ca2+-independent manner. Localized to the cell wall. Specifically expressed in L1 epidermal layer. Predicted to be a member of PR-14 pathogenesis-related protein family with the following members:   At2g38540/LTP1, At2g38530/LTP2, At5g59320/LTP3, At5g59310/LTP4, At3g51600/LTP5, At3g08770/LTP6, At2g15050/LTP7, At2g18370/LTP8, At2g15325/LTP9, At5g01870/LTP10, At4g33355/LTP11, At3g51590/LTP12, At5g44265/LTP13, At5g62065/LTP14, At4g08530/LTP15. protein_coding  LIPID TRANSFER PROTEIN 1 (LP1)  LIPID TRANSFER PROTEIN 1 (LP1);LIPID TRANSFER PROTEIN 1 (LTP1);ARABIDOPSIS THALIANA LIPID TRANSFER PROTEIN 1 (ATLTP1)"	"Non-specific lipid transfer protein. Binds calmodulin in a Ca2+-independent manner. Localized to the cell wall. Specifically expressed in L1 epidermal layer. Predicted to be a member of PR-14 pathogenesis-related protein family with the following members:   At2g38540/LTP1, At2g38530/LTP2, At5g59320/LTP3, At5g59310/LTP4, At3g51600/LTP5, At3g08770/LTP6, At2g15050/LTP7, At2g18370/LTP8, At2g15325/LTP9, At5g01870/LTP10, At4g33355/LTP11, At3g51590/LTP12, At5g44265/LTP13, At5g62065/LTP14, At4g08530/LTP15. protein_coding  LIPID TRANSFER PROTEIN 1 (LP1)  LIPID TRANSFER PROTEIN 1 (LP1);LIPID TRANSFER PROTEIN 1 (LTP1);ARABIDOPSIS THALIANA LIPID TRANSFER PROTEIN 1 (ATLTP1)"				
CG1892	HuCL00012C003	HaT13l037217	AT5G59320	AT5G59320	LTP3	LTP3	"Predicted to encode a PR (pathogenesis-related) protein. Belongs to the lipid transfer protein (PR-14) family with the following members: At2g38540/LTP1, At2g38530/LTP2, At5g59320/LTP3, At5g59310/LTP4, At3g51600/LTP5, At3g08770/LTP6, At2g15050/LTP7, At2g18370/LTP8, At2g15325/LTP9, At5g01870/LTP10, At4g33355/LTP11, At3g51590/LTP12, At5g44265/LTP13, At5g62065/LTP14, At4g08530/LTP15."	"Predicted to encode a PR (pathogenesis-related) protein.  Belongs to the lipid transfer protein (PR-14) family with the following members:   At2g38540/LTP1, At2g38530/LTP2, At5g59320/LTP3, At5g59310/LTP4, At3g51600/LTP5, At3g08770/LTP6, At2g15050/LTP7, At2g18370/LTP8, At2g15325/LTP9, At5g01870/LTP10, At4g33355/LTP11, At3g51590/LTP12, At5g44265/LTP13, At5g62065/LTP14, At4g08530/LTP15.      protein_coding  LIPID TRANSFER PROTEIN 3 (LTP3) LIPID TRANSFER PROTEIN 3 (LTP3)"				
CG1893	HuCL00012C008	HaT13l037217	AT5G59320	AT5G59320	LTP3	LTP3	"Predicted to encode a PR (pathogenesis-related) protein. Belongs to the lipid transfer protein (PR-14) family with the following members: At2g38540/LTP1, At2g38530/LTP2, At5g59320/LTP3, At5g59310/LTP4, At3g51600/LTP5, At3g08770/LTP6, At2g15050/LTP7, At2g18370/LTP8, At2g15325/LTP9, At5g01870/LTP10, At4g33355/LTP11, At3g51590/LTP12, At5g44265/LTP13, At5g62065/LTP14, At4g08530/LTP15."	"Predicted to encode a PR (pathogenesis-related) protein.  Belongs to the lipid transfer protein (PR-14) family with the following members:   At2g38540/LTP1, At2g38530/LTP2, At5g59320/LTP3, At5g59310/LTP4, At3g51600/LTP5, At3g08770/LTP6, At2g15050/LTP7, At2g18370/LTP8, At2g15325/LTP9, At5g01870/LTP10, At4g33355/LTP11, At3g51590/LTP12, At5g44265/LTP13, At5g62065/LTP14, At4g08530/LTP15.      protein_coding  LIPID TRANSFER PROTEIN 3 (LTP3) LIPID TRANSFER PROTEIN 3 (LTP3)"				
CG1894	HuCL00012C009	HaT13l012904	AT5G59320	AT5G59320	LTP3	LTP3	"Predicted to encode a PR (pathogenesis-related) protein. Belongs to the lipid transfer protein (PR-14) family with the following members: At2g38540/LTP1, At2g38530/LTP2, At5g59320/LTP3, At5g59310/LTP4, At3g51600/LTP5, At3g08770/LTP6, At2g15050/LTP7, At2g18370/LTP8, At2g15325/LTP9, At5g01870/LTP10, At4g33355/LTP11, At3g51590/LTP12, At5g44265/LTP13, At5g62065/LTP14, At4g08530/LTP15."	"Predicted to encode a PR (pathogenesis-related) protein. Belongs to the lipid transfer protein (PR-14) family with the following members: At2g38540/LTP1, At2g38530/LTP2, At5g59320/LTP3, At5g59310/LTP4, At3g51600/LTP5, At3g08770/LTP6, At2g15050/LTP7, At2g18370/LTP8, At2g15325/LTP9, At5g01870/LTP10, At4g33355/LTP11, At3g51590/LTP12, At5g44265/LTP13, At5g62065/LTP14, At4g08530/LTP15."				
CG1895	HuCL00013C002	HaT13l001277	AT1G43710	AT1G43710	emb1075	emb1075	"embryo defective 1075 (emb1075); FUNCTIONS IN: pyridoxal phosphate binding, carboxy-lyase activity, catalytic activity; INVOLVED IN: cellular amino acid metabolic process, embryo development ending in seed dormancy; LOCATED IN: cellular_component unknown; EXPRESSED IN: 25 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Pyridoxal phosphate-dependent transferase, major domain (InterPro:IPR015424), Pyridoxal phosphate-dependent decarboxylase (InterPro:IPR002129), Pyridoxal-phosphate binding site (InterPro:IPR021115), Pyridoxal phosphate-dependent transferase, major region, subdomain 1 (InterPro:IPR015421); BEST Arabidopsis thaliana protein match is: glutamate decarboxylase 2 (TAIR:AT1G65960.1); Has 3259 Blast hits to 3251 proteins in 995 species: Archae - 187; Bacteria - 1878; Metazoa - 518; Fungi - 211; Plants - 249; Viruses - 11; Other Eukaryotes - 205 (source: NCBI BLink)."	"embryo defective 1075 (emb1075); FUNCTIONS IN: pyridoxal phosphate binding, carboxy-lyase activity, catalytic activity; INVOLVED IN: cellular amino acid metabolic process, embryo development ending in seed dormancy; LOCATED IN: cellular_component unknown; EXPRESSED IN: 25 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Pyridoxal phosphate-dependent transferase, major domain (InterPro:IPR015424), Pyridoxal phosphate-dependent decarboxylase (InterPro:IPR002129), Pyridoxal-phosphate binding site (InterPro:IPR021115), Pyridoxal phosphate-dependent transferase, major region, subdomain 1 (InterPro:IPR015421); BEST Arabidopsis thaliana protein match is: glutamate decarboxylase 2 (TAIR:AT1G65960.1); Has 3259 Blast hits to 3251 proteins in 995 species: Archae - 187; Bacteria - 1878; Metazoa - 518; Fungi - 211; Plants - 249; Viruses - 11; Other Eukaryotes - 205 (source: NCBI BLink). protein_coding  EMBRYO DEFECTIVE 1075 (emb1075) EMBRYO DEFECTIVE 1075 (emb1075)"				
CG1896	HuCL00039C002	HaT13l004181	AT1G05010	AT1G05010	EFE	EFE	Encodes 1-aminocyclopropane-1-carboxylate oxidase       protein_coding  ETHYLENE-FORMING ENZYME (EFE)   ETHYLENE-FORMING ENZYME (EFE);ETHYLENE FORMING ENZYME (ACO4); (EAT1)	Encodes 1-aminocyclopropane-1-carboxylate oxidase       protein_coding  ETHYLENE-FORMING ENZYME (EFE)   ETHYLENE-FORMING ENZYME (EFE);ETHYLENE FORMING ENZYME (ACO4); (EAT1)				
CG1897	HuCL00049C001	HaT13l000723	AT4G21960	AT4G21960	PRXR1	PRXR1	Encodes AT4g21960 (AT4g21960/T8O5_170). protein_coding   (PRXR1)         (PRXR1)	Encodes AT4g21960 (AT4g21960/T8O5_170). protein_coding   (PRXR1)         (PRXR1)				
CG1898	HuCL00053C009	HaT13l005099	NA	NA	HuCL00053C009	HaT13l005099		 				
CG1899	HuCL00066C004	HaT13l005265	AT4G34030	AT4G34030	MCCB	MCCB	MCC-B is involved in leucine degradation in mitochondria. The active protein is a dimer of MCC-A and MCC-B. MCC-A is biotinylated whereas MCC-B is not.	MCC-B is involved in leucine degradation in mitochondria. The active protein is a dimer of MCC-A and MCC-B. MCC-A is biotinylated whereas MCC-B is not. protein_coding  3-METHYLCROTONYL-COA CARBOXYLASE (MCCB) 3-METHYLCROTONYL-COA CARBOXYLASE (MCCB)				
CG1900	HuCL00078C007	HaT13l018685	AT1G60730	AT1G60730	HuCL00078C007	HaT13l018685	 NAD P-linked oxidoreductase superfamily protein 	 NAD P-linked oxidoreductase superfamily protein 				
CG1901	HuCL00178C003	HaT13l000974	AT5G57655	AT5G57655	HuCL00178C003	HaT13l000974	 xylose isomerase family protein 	 xylose isomerase family protein 				
